epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,737.311,0.88961,0.84137,1.22603,0.44158,0.49411,0.47605,0.17516,2.71248,1.99463,3.35374,0.000839694,0.000839694,0.000839694
76,747.146,0.90338,0.85746,1.22868,0.31118,0.46602,0.43512,0.15537,2.7534,1.92234,3.3028,0.000836027,0.000836027,0.000836027
77,756.82,0.88392,0.82298,1.207,0.4018,0.51694,0.45067,0.15561,2.73388,1.84663,3.29831,0.000832361,0.000832361,0.000832361
78,766.558,0.90698,0.83078,1.23333,0.42397,0.46946,0.42456,0.14038,2.78624,1.96667,3.37558,0.000828695,0.000828695,0.000828695
79,776.169,0.89103,0.8445,1.2119,0.41663,0.41018,0.42726,0.1468,2.75975,1.86948,3.29385,0.000825029,0.000825029,0.000825029
80,785.947,0.87,0.82165,1.19068,0.51092,0.35089,0.42314,0.14251,2.69743,1.86356,3.22388,0.000821362,0.000821362,0.000821362
81,795.679,0.88597,0.81487,1.21205,0.45381,0.46065,0.43112,0.14019,2.71079,1.89831,3.27069,0.000817696,0.000817696,0.000817696
82,805.398,0.84921,0.78875,1.19895,0.46604,0.42558,0.43261,0.14668,2.80281,1.90969,3.41592,0.00081403,0.00081403,0.00081403
83,815.144,0.83983,0.78457,1.18899,0.44242,0.52648,0.47854,0.17583,2.74497,1.90823,3.37615,0.000810363,0.000810363,0.000810363
84,824.857,0.85526,0.78714,1.19884,0.52114,0.43786,0.44272,0.16054,2.71613,1.86883,3.25547,0.000806697,0.000806697,0.000806697
85,834.547,0.8338,0.77073,1.18995,0.39918,0.41276,0.3898,0.14896,2.77993,1.86687,3.22094,0.000803031,0.000803031,0.000803031
86,844.33,0.83265,0.78308,1.17852,0.37704,0.56342,0.44789,0.1659,2.68242,1.85947,3.28394,0.000799365,0.000799365,0.000799365
87,854.056,0.85352,0.78271,1.19409,0.3588,0.41946,0.40468,0.16357,2.7179,1.88374,3.28167,0.000795698,0.000795698,0.000795698
88,863.736,0.81618,0.75428,1.1676,0.6277,0.36362,0.48008,0.18278,2.72583,1.84559,3.3202,0.000792032,0.000792032,0.000792032
89,873.628,0.83527,0.79015,1.17741,0.50816,0.4936,0.48754,0.17951,2.70307,1.91689,3.25075,0.000788366,0.000788366,0.000788366
90,883.352,0.84161,0.77751,1.1923,0.53482,0.55975,0.50571,0.19005,2.68923,1.81791,3.31437,0.000784699,0.000784699,0.000784699
