epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,991.791,1.87816,1.79127,2.03725,0.42614,0.49792,0.48217,0.17565,2.39989,1.81156,2.59875,0.00091302,0.00091302,0.00091302
56,1009.56,1.88738,1.79714,2.05012,0.58302,0.58819,0.58782,0.22988,2.42074,1.74655,2.66466,0.000909353,0.000909353,0.000909353
57,1027.39,1.85865,1.76076,2.0376,0.59755,0.56254,0.60659,0.25644,2.36677,1.75717,2.62725,0.000905687,0.000905687,0.000905687
58,1045.19,1.8951,1.85519,2.06492,0.40406,0.55752,0.5242,0.20906,2.37966,1.89096,2.70243,0.000902021,0.000902021,0.000902021
59,1062.94,1.83786,1.76541,2.01244,0.65369,0.55952,0.56098,0.23931,2.34074,1.82534,2.61817,0.000898355,0.000898355,0.000898355
60,1080.71,1.82866,1.77771,2.00168,0.36197,0.53131,0.47265,0.21877,2.37614,1.85626,2.70003,0.000894688,0.000894688,0.000894688
61,1098.52,1.83318,1.80677,2.03305,0.44645,0.54569,0.47915,0.20594,2.33437,1.82769,2.64254,0.000891022,0.000891022,0.000891022
62,1116.34,1.83363,1.76845,2.00844,0.66589,0.54013,0.54727,0.22214,2.38838,1.80837,2.64914,0.000887356,0.000887356,0.000887356
63,1134.16,1.81142,1.7477,1.99332,0.43784,0.49675,0.48349,0.18078,2.46213,1.8576,2.7098,0.000883689,0.000883689,0.000883689
64,1151.98,1.7826,1.74843,2.01685,0.46815,0.57664,0.49016,0.2046,2.36687,1.96905,2.73398,0.000880023,0.000880023,0.000880023
65,1169.78,1.85995,1.72643,2.03608,0.65503,0.59618,0.6073,0.26191,2.3622,1.73196,2.65693,0.000876357,0.000876357,0.000876357
66,1187.81,1.79425,1.72005,1.95468,0.68973,0.52588,0.56284,0.24104,2.31965,1.77476,2.64888,0.000872691,0.000872691,0.000872691
67,1205.75,1.79215,1.67596,1.97814,0.56601,0.54726,0.60653,0.24455,2.39996,1.82187,2.67615,0.000869024,0.000869024,0.000869024
68,1223.66,1.86341,1.75167,2.04064,0.74595,0.5836,0.61591,0.24574,2.42737,1.79356,2.68302,0.000865358,0.000865358,0.000865358
69,1241.51,1.79083,1.67122,1.99191,0.48791,0.52137,0.57417,0.23774,2.4028,1.80348,2.67014,0.000861692,0.000861692,0.000861692
70,1259.43,1.81246,1.70912,2.00735,0.48001,0.52709,0.50498,0.20949,2.38069,1.77877,2.61669,0.000858025,0.000858025,0.000858025
71,1277.25,1.8048,1.68666,1.98505,0.424,0.57696,0.50444,0.20008,2.38931,1.77908,2.64662,0.000854359,0.000854359,0.000854359
72,1295.11,1.77366,1.63205,1.9785,0.54659,0.52144,0.55648,0.23126,2.43885,1.83981,2.71635,0.000850693,0.000850693,0.000850693
73,1312.98,1.76858,1.63378,1.98569,0.47611,0.61477,0.58785,0.23195,2.40839,1.76515,2.7271,0.000847026,0.000847026,0.000847026
74,1330.89,1.77366,1.59065,1.97747,0.50731,0.61221,0.57929,0.24928,2.3875,1.73516,2.64821,0.00084336,0.00084336,0.00084336
75,1348.75,1.76806,1.60535,1.96666,0.46667,0.60226,0.57848,0.22101,2.42598,1.7264,2.64315,0.000839694,0.000839694,0.000839694
76,1366.61,1.78636,1.68538,1.96514,0.60097,0.46624,0.5326,0.2109,2.43107,1.85868,2.71364,0.000836027,0.000836027,0.000836027
77,1384.44,1.74925,1.59002,1.93821,0.58307,0.56585,0.59102,0.25037,2.43949,1.74211,2.7312,0.000832361,0.000832361,0.000832361
78,1402.19,1.73641,1.60454,1.93083,0.50613,0.57222,0.50302,0.20109,2.44766,1.75519,2.7272,0.000828695,0.000828695,0.000828695
79,1419.95,1.72574,1.56063,1.92478,0.56007,0.5654,0.59137,0.23523,2.42462,1.70833,2.7281,0.000825029,0.000825029,0.000825029
80,1437.73,1.73305,1.60227,1.93086,0.56208,0.57394,0.59463,0.23098,2.4323,1.78083,2.69794,0.000821362,0.000821362,0.000821362
81,1455.53,1.7144,1.56672,1.93122,0.49047,0.64518,0.59647,0.2483,2.37217,1.71646,2.65749,0.000817696,0.000817696,0.000817696
82,1473.28,1.74084,1.60729,1.93444,0.6318,0.56334,0.61609,0.25325,2.39685,1.7,2.71516,0.00081403,0.00081403,0.00081403
83,1491.12,1.69827,1.58262,1.95279,0.52108,0.56156,0.54673,0.24635,2.45701,1.7585,2.7901,0.000810363,0.000810363,0.000810363
84,1508.98,1.72167,1.55129,1.93142,0.53935,0.52613,0.56993,0.2635,2.41005,1.81014,2.75411,0.000806697,0.000806697,0.000806697
85,1526.89,1.70902,1.5411,1.91895,0.48885,0.61619,0.53622,0.22178,2.43157,1.72085,2.71205,0.000803031,0.000803031,0.000803031
86,1544.78,1.70362,1.54107,1.92406,0.5405,0.6362,0.60755,0.25855,2.45763,1.69179,2.79577,0.000799365,0.000799365,0.000799365
87,1562.58,1.71085,1.53893,1.93609,0.53333,0.61271,0.5649,0.23788,2.38533,1.72961,2.7392,0.000795698,0.000795698,0.000795698
88,1580.46,1.67885,1.51674,1.90826,0.51502,0.60104,0.58594,0.25202,2.43948,1.7102,2.79881,0.000792032,0.000792032,0.000792032
89,1598.3,1.6709,1.50605,1.91527,0.50479,0.61532,0.5786,0.2269,2.47775,1.76398,2.72848,0.000788366,0.000788366,0.000788366
90,1616.29,1.70355,1.55985,1.90593,0.52561,0.61721,0.54222,0.2182,2.43608,1.76535,2.7187,0.000784699,0.000784699,0.000784699
91,1634.26,1.63544,1.45913,1.86661,0.5225,0.62287,0.60573,0.26189,2.46168,1.67121,2.8026,0.000781033,0.000781033,0.000781033
92,1652.28,1.67403,1.49611,1.90504,0.63034,0.58102,0.59118,0.25621,2.45227,1.73471,2.75379,0.000777367,0.000777367,0.000777367
93,1670.2,1.66687,1.49006,1.90026,0.58713,0.6137,0.58989,0.25017,2.49284,1.71957,2.78889,0.0007737,0.0007737,0.0007737
94,1688.2,1.64468,1.46258,1.85808,0.52755,0.54083,0.52008,0.22487,2.48167,1.7216,2.73229,0.000770034,0.000770034,0.000770034
95,1706.16,1.65465,1.43247,1.87457,0.53142,0.60142,0.60417,0.23916,2.47694,1.70428,2.7979,0.000766368,0.000766368,0.000766368
96,1724.07,1.64319,1.4615,1.89289,0.49037,0.62405,0.59195,0.26332,2.40669,1.76715,2.72505,0.000762702,0.000762702,0.000762702
97,1742.02,1.61569,1.43935,1.84529,0.56225,0.51357,0.51159,0.23267,2.44801,1.68675,2.71738,0.000759035,0.000759035,0.000759035
98,1759.94,1.66087,1.49267,1.8764,0.63465,0.62508,0.61962,0.24966,2.44734,1.74332,2.78318,0.000755369,0.000755369,0.000755369
99,1778,1.65168,1.4795,1.87384,0.62467,0.5872,0.60115,0.22068,2.45415,1.70505,2.7696,0.000751703,0.000751703,0.000751703
100,1795.92,1.66417,1.46663,1.89517,0.50296,0.63903,0.56802,0.25628,2.45777,1.78015,2.82545,0.000748036,0.000748036,0.000748036
101,1813.91,1.60829,1.41265,1.84465,0.52824,0.64837,0.62854,0.27254,2.49525,1.73476,2.82382,0.00074437,0.00074437,0.00074437
102,1832.19,1.63447,1.4018,1.84573,0.49891,0.52822,0.52259,0.2196,2.5187,1.78028,2.78545,0.000740704,0.000740704,0.000740704
103,1850.04,1.62266,1.46515,1.85595,0.51812,0.69553,0.63505,0.25367,2.46556,1.7172,2.86622,0.000737037,0.000737037,0.000737037
104,1868.05,1.59352,1.42897,1.85421,0.62098,0.49613,0.559,0.24178,2.45599,1.75124,2.81918,0.000733371,0.000733371,0.000733371
105,1886.09,1.60777,1.4106,1.83803,0.49263,0.63992,0.59199,0.26288,2.40321,1.78581,2.79182,0.000729705,0.000729705,0.000729705
106,1904.14,1.58256,1.38998,1.84035,0.57545,0.68918,0.6186,0.25429,2.42125,1.6479,2.83743,0.000726038,0.000726038,0.000726038
107,1922,1.56776,1.37875,1.81764,0.47758,0.66008,0.56688,0.23565,2.50646,1.70419,2.87528,0.000722372,0.000722372,0.000722372
108,1940.06,1.56724,1.37243,1.819,0.60632,0.59592,0.62342,0.26698,2.47899,1.66225,2.87286,0.000718706,0.000718706,0.000718706
109,1957.96,1.54136,1.35451,1.78823,0.56593,0.58242,0.55136,0.23903,2.51012,1.70345,2.87617,0.00071504,0.00071504,0.00071504
110,1975.99,1.58999,1.39769,1.83192,0.47543,0.62337,0.53368,0.22563,2.48043,1.78224,2.79069,0.000711373,0.000711373,0.000711373
111,1994.07,1.54683,1.36048,1.80133,0.50257,0.66353,0.6007,0.24501,2.46007,1.74034,2.79474,0.000707707,0.000707707,0.000707707
112,2012,1.50203,1.3014,1.76859,0.52087,0.65048,0.52775,0.23452,2.44887,1.70621,2.83086,0.000704041,0.000704041,0.000704041
113,2030.02,1.55353,1.32159,1.77791,0.4396,0.62138,0.56485,0.20751,2.54215,1.74342,2.88475,0.000700374,0.000700374,0.000700374
114,2047.99,1.5322,1.33665,1.79064,0.59677,0.65954,0.62361,0.22668,2.52514,1.66985,2.82767,0.000696708,0.000696708,0.000696708
115,2065.93,1.54768,1.34415,1.7978,0.55,0.62271,0.58062,0.22666,2.53305,1.66874,2.95834,0.000693042,0.000693042,0.000693042
116,2083.86,1.55454,1.32561,1.7958,0.60674,0.68165,0.62486,0.21251,2.54867,1.64483,2.89261,0.000689376,0.000689376,0.000689376
117,2101.85,1.54315,1.36669,1.78184,0.6031,0.5363,0.56637,0.223,2.56003,1.7959,2.928,0.000685709,0.000685709,0.000685709
118,2119.77,1.48847,1.31008,1.75513,0.50249,0.68945,0.61318,0.25638,2.50098,1.70461,2.88201,0.000682043,0.000682043,0.000682043
119,2137.71,1.49651,1.29059,1.75087,0.58185,0.6774,0.62459,0.24652,2.5709,1.71515,2.90687,0.000678377,0.000678377,0.000678377
120,2155.81,1.50079,1.30616,1.7683,0.5527,0.63651,0.58491,0.25053,2.53627,1.61946,2.85338,0.00067471,0.00067471,0.00067471
121,2173.71,1.47688,1.29202,1.74788,0.51132,0.55735,0.50486,0.21665,2.55414,1.6911,2.94223,0.000671044,0.000671044,0.000671044
122,2191.66,1.48461,1.32153,1.75836,0.56725,0.57253,0.5612,0.23124,2.56921,1.69291,2.96822,0.000667378,0.000667378,0.000667378
123,2209.55,1.45347,1.2824,1.72669,0.5705,0.554,0.54842,0.22863,2.44556,1.7069,2.85386,0.000663711,0.000663711,0.000663711
124,2227.55,1.48102,1.27082,1.72961,0.57677,0.63753,0.59972,0.23931,2.49272,1.7645,2.86942,0.000660045,0.000660045,0.000660045
125,2245.45,1.4417,1.22957,1.70045,0.49646,0.60917,0.56239,0.21035,2.60391,1.68316,3.04962,0.000656379,0.000656379,0.000656379
126,2263.4,1.49102,1.24513,1.73506,0.58032,0.53285,0.54748,0.2092,2.56276,1.74789,2.9538,0.000652712,0.000652712,0.000652712
127,2281.36,1.46622,1.26282,1.73112,0.58087,0.64356,0.57496,0.21173,2.53739,1.76975,2.98773,0.000649046,0.000649046,0.000649046
128,2299.3,1.48106,1.26775,1.74234,0.53162,0.64411,0.5761,0.22266,2.52045,1.72712,3.01536,0.00064538,0.00064538,0.00064538
129,2317.33,1.41753,1.23468,1.68173,0.52987,0.6251,0.59141,0.22536,2.5408,1.73008,2.9881,0.000641714,0.000641714,0.000641714
130,2335.31,1.44805,1.21493,1.69423,0.57023,0.54864,0.47112,0.1779,2.60785,1.80946,3.0557,0.000638047,0.000638047,0.000638047
131,2353.2,1.41325,1.20691,1.69174,0.55322,0.60922,0.54989,0.20983,2.52868,1.65975,2.96254,0.000634381,0.000634381,0.000634381
132,2371.07,1.39886,1.20454,1.66771,0.63986,0.4986,0.54812,0.21131,2.60713,1.65708,2.99701,0.000630715,0.000630715,0.000630715
133,2389.05,1.42045,1.21368,1.70818,0.50464,0.55057,0.52597,0.22787,2.57224,1.68082,3.05172,0.000627048,0.000627048,0.000627048
134,2406.97,1.43017,1.18149,1.70084,0.45858,0.67452,0.57423,0.22658,2.58547,1.72719,2.99654,0.000623382,0.000623382,0.000623382
135,2424.88,1.44927,1.19117,1.70801,0.60354,0.51339,0.54647,0.22413,2.62423,1.64385,3.09882,0.000619716,0.000619716,0.000619716
136,2442.82,1.35138,1.16823,1.64334,0.54965,0.53635,0.56476,0.24941,2.53768,1.65173,3.02378,0.000616049,0.000616049,0.000616049
137,2460.76,1.38428,1.18589,1.67937,0.4897,0.69852,0.61684,0.22306,2.5941,1.63726,3.14656,0.000612383,0.000612383,0.000612383
138,2478.76,1.40101,1.20927,1.67942,0.56661,0.58354,0.56577,0.22566,2.55764,1.67013,3.03334,0.000608717,0.000608717,0.000608717
139,2496.59,1.37961,1.17923,1.65978,0.65225,0.56657,0.57106,0.21359,2.62697,1.65663,3.08626,0.000605051,0.000605051,0.000605051
140,2514.45,1.38065,1.18219,1.64747,0.46358,0.61055,0.54818,0.21975,2.58543,1.68238,3.06375,0.000601384,0.000601384,0.000601384
141,2532.34,1.36842,1.14198,1.64585,0.51133,0.59915,0.54155,0.21644,2.57954,1.64893,3.05248,0.000597718,0.000597718,0.000597718
142,2550.2,1.36178,1.1666,1.64008,0.53593,0.6277,0.54631,0.20967,2.67489,1.67888,3.18591,0.000594052,0.000594052,0.000594052
143,2568.09,1.35028,1.14602,1.61952,0.52503,0.54998,0.50907,0.21285,2.64463,1.68581,3.07797,0.000590385,0.000590385,0.000590385
144,2586.1,1.36702,1.15597,1.63224,0.6033,0.60465,0.59974,0.22931,2.61696,1.56752,3.08046,0.000586719,0.000586719,0.000586719
145,2603.97,1.33889,1.14267,1.61642,0.53001,0.6376,0.58534,0.2354,2.58004,1.59899,3.07754,0.000583053,0.000583053,0.000583053
146,2621.9,1.35811,1.1348,1.65006,0.59425,0.62642,0.6011,0.23016,2.592,1.70095,3.1685,0.000579386,0.000579386,0.000579386
147,2639.85,1.31636,1.13499,1.60556,0.54179,0.54543,0.54085,0.20886,2.61516,1.71697,3.14439,0.00057572,0.00057572,0.00057572
148,2657.77,1.35073,1.1391,1.63067,0.57115,0.62235,0.53379,0.2164,2.6526,1.62101,3.16357,0.000572054,0.000572054,0.000572054
149,2675.71,1.3098,1.11795,1.58174,0.4621,0.5543,0.49582,0.21187,2.62149,1.68583,3.26514,0.000568388,0.000568388,0.000568388
150,2693.6,1.34946,1.14691,1.62278,0.66484,0.56791,0.59635,0.22172,2.6353,1.55596,3.24423,0.000564721,0.000564721,0.000564721
151,2711.52,1.32569,1.12054,1.58731,0.59385,0.54906,0.56527,0.23603,2.59483,1.59965,3.13328,0.000561055,0.000561055,0.000561055
152,2729.36,1.32175,1.11013,1.5927,0.55882,0.61745,0.55538,0.23522,2.62137,1.61836,3.13152,0.000557389,0.000557389,0.000557389
153,2747.26,1.28885,1.0858,1.56447,0.62145,0.59804,0.55589,0.20965,2.6345,1.66077,3.14586,0.000553722,0.000553722,0.000553722
154,2765.14,1.33913,1.10148,1.59297,0.58247,0.60358,0.56334,0.23325,2.60436,1.58213,3.14123,0.000550056,0.000550056,0.000550056
155,2783.01,1.26271,1.04558,1.5579,0.59433,0.63544,0.61066,0.24342,2.58134,1.55494,3.12485,0.00054639,0.00054639,0.00054639
156,2801.01,1.26927,1.08015,1.56872,0.57022,0.62279,0.59807,0.23452,2.58462,1.61954,3.17761,0.000542723,0.000542723,0.000542723
157,2818.93,1.28702,1.07801,1.57773,0.59352,0.60237,0.58647,0.24261,2.61678,1.63586,3.15595,0.000539057,0.000539057,0.000539057
158,2836.85,1.27132,1.03756,1.56146,0.64583,0.62773,0.59715,0.24295,2.57836,1.69214,3.06105,0.000535391,0.000535391,0.000535391
159,2854.72,1.28158,1.08235,1.57804,0.57093,0.63532,0.57998,0.23721,2.59617,1.73942,3.03906,0.000531725,0.000531725,0.000531725
160,2872.64,1.27419,1.06511,1.55724,0.51168,0.53944,0.51614,0.20106,2.70676,1.66099,3.2277,0.000528058,0.000528058,0.000528058
161,2890.48,1.28044,1.09347,1.57664,0.56074,0.60755,0.55514,0.23175,2.59295,1.64004,3.24842,0.000524392,0.000524392,0.000524392
162,2908.43,1.24932,1.06941,1.5356,0.5257,0.5908,0.54182,0.22527,2.60018,1.66595,3.12575,0.000520726,0.000520726,0.000520726
163,2926.29,1.24127,1.05074,1.53278,0.64579,0.57121,0.57635,0.24417,2.61641,1.62419,3.11637,0.000517059,0.000517059,0.000517059
164,2944.24,1.27991,1.06226,1.55496,0.52693,0.59686,0.56693,0.21884,2.7221,1.69911,3.26854,0.000513393,0.000513393,0.000513393
165,2962.04,1.23881,1.03912,1.54671,0.54661,0.57823,0.58919,0.23535,2.7223,1.63212,3.32432,0.000509727,0.000509727,0.000509727
166,2979.76,1.24603,1.0399,1.54187,0.54531,0.57869,0.55522,0.20842,2.67788,1.71629,3.20776,0.00050606,0.00050606,0.00050606
167,2997.49,1.24331,1.02534,1.53455,0.58358,0.55914,0.5581,0.21818,2.71414,1.64967,3.30044,0.000502394,0.000502394,0.000502394
168,3015.24,1.25143,1.05264,1.54958,0.59451,0.59835,0.56697,0.24422,2.676,1.63517,3.32169,0.000498728,0.000498728,0.000498728
169,3032.98,1.21708,1.00773,1.52121,0.64346,0.58512,0.5768,0.23618,2.65031,1.69387,3.33755,0.000495062,0.000495062,0.000495062
170,3050.71,1.20906,1.02545,1.50745,0.60584,0.52951,0.50168,0.2192,2.68185,1.69283,3.2656,0.000491395,0.000491395,0.000491395
171,3068.42,1.22367,1.03213,1.50687,0.65073,0.57829,0.57632,0.2358,2.67315,1.64758,3.37327,0.000487729,0.000487729,0.000487729
172,3086.28,1.22211,1.03199,1.51849,0.59548,0.46224,0.51554,0.19519,2.68352,1.7052,3.3431,0.000484063,0.000484063,0.000484063
173,3104.07,1.20588,1.00054,1.50616,0.58156,0.56936,0.54649,0.22074,2.63459,1.64434,3.24208,0.000480396,0.000480396,0.000480396
174,3121.95,1.20456,1.00492,1.50077,0.59807,0.58162,0.55853,0.23985,2.61779,1.6204,3.28419,0.00047673,0.00047673,0.00047673
175,3139.65,1.19536,0.98023,1.49119,0.55937,0.62257,0.57145,0.23732,2.65682,1.63939,3.35281,0.000473064,0.000473064,0.000473064
176,3157.41,1.20493,1.00605,1.51146,0.64453,0.58857,0.57985,0.24008,2.63875,1.61861,3.34974,0.000469397,0.000469397,0.000469397
177,3175.15,1.17339,0.97669,1.47655,0.48855,0.56981,0.5114,0.20879,2.65177,1.77393,3.26433,0.000465731,0.000465731,0.000465731
178,3193,1.2155,1.01313,1.50541,0.70906,0.58757,0.60383,0.23016,2.6627,1.74459,3.33663,0.000462065,0.000462065,0.000462065
179,3210.77,1.15505,0.96771,1.47142,0.55464,0.55176,0.53099,0.21083,2.67882,1.69986,3.36124,0.000458399,0.000458399,0.000458399
180,3228.57,1.19353,0.98724,1.49188,0.64817,0.59614,0.60493,0.24863,2.66774,1.67636,3.29402,0.000454732,0.000454732,0.000454732
181,3246.38,1.16296,0.95489,1.45899,0.56043,0.60774,0.53189,0.20613,2.70911,1.70614,3.3424,0.000451066,0.000451066,0.000451066
